Italian	English	Japanese
Egina	Aegina	アイギーナ
Agostino	Augustine	アウグスティヌス
Augusto	Augustus	アウグストゥス
Ausonia	Ausonia	アウソニア
Aulide	Aulis	アウリス
Aurora	Aurora	アウロラ
Enea	Aeneas	アエネアス
Eneide	Aeneid	アエネイス
Acàn	Achan	アカン
Agatone	Agathon	アガトン
Agapito	Agapetus	アガピトゥス
Agamennone	Agamemnon	アガメムノン
Achitofèl	Ahithophel	アキトフェル
Achille	Achilles	アキレイス
Achille	Achilles	アキレウス
Acquacheta	Acquacheta	アクアケータ
Acquasparta	Acquasparta	アクアスパルタ
Aquino	Aquinas	アクィナス
Acri	Acre	アクリ
Aglauro	Aglauros	アグラウロス
Aguglion	Aguglione	アグーリョーネ
Acheronte	Acheron	アケロン
Acone	Acone	アコーネ
Asciano	Asciano	アシャーノ
Asdente	Asdente	アスデンテ
Asperges	Asperges	アスペルゲス
Asopo	Asopus	アソポ
Atamante	Athamas	アタマス
Adamo	Adam	アダム
Adamo	Adam	アダーモ
Assisi	Assisi	アッシジ
Assiri	Assyrians	アッシリア
Azzo	Azzo	アッツォ
Azzolino	Azzolino	アッツォリーノ
Attila	Attila	アッティラ
Abbagliato	Abbagliato	アッバリアート
Arrigucci	Arrigucci	アッリグッチ
Arrigo	Arrigo	アッリーゴ
Mainardi	Mainardi	アッリーゴ・マイナルディ
Atene	Athens	アテナイ
Adice	Adige	アディジェ
Adimari	Adimari	アディマーリ
Atropòs	Atropos	アトロポス
Adria	Adria	アドリア
Anassagora	Anaxagoras	アナクサゴラス
Anastasio	Anastasius	アナスタシウス
Anastagi	Anastagi	アナスタージ
Anania	Ananias	アナニアス
Anagni	Anagni	アナーニ
Agnello	Agnello	アニェッロ
Agnus Dei	Agnus Dei	アニュス・デイ
Assuero	Ahasuerus	アハシュエロス
Abido	Abydos	アビュドス
Affricano	Africanus	アフリカヌス
Absalone	Absalom	アブサロム
Abraàm	Abraham	アブラハム
Abèl	Abel	アベル
