El（エル）	pa:26:136
I（イー）	pa:26:134
おおぐま座	pa:13:7
こぐま座	pa:13:10
わが心に愛が語りかける	pu:2:112
アイギーナ島	i:29:59
アウグスティヌス	pa:10:119	pa:12:130	pa:32:35
アウグストゥス	i:1:71	i:13:68	pu:29:116
アウソニア	pa:8:61
アウリス	i:20:111
アウロラ	pu:2:8
アエネアス	i:2:32	i:4:122	i:26:93
アエネイス	pu:21:97
アカン	pu:20:109
アガトン	pu:22:107
アガピトゥス	pa:6:16
アキトフェル	i:28:137
アキレウス	i:5:65	i:12:71	i:26:62	i:31:4	pu:9:34	pu:21:92
アクアケータ	i:16:97
アクアスパルタ	pa:12:124
アクィナス家	pa:10:98
アクリ	i:27:89
アグラウロス	pu:14:139
アグーリョーネ	pa:16:55
アケロン	i:3:78	i:14:116
アケロン川	pu:2:105
アコーネ	pa:16:65
アシャーノ	i:29:131
アスデンテ	i:20:118
アソポ	pu:18:91
アタマス	i:30:4
アダム	i:3:115	pu:1:24	pu:9:10	pu:11:44	pu:29:86	pu:32:37	pa:7:26
アダーモ	i:30:61	i:30:104
アッシジ	pa:11:53
アッシリア人	pu:12:59
アッツォリーノ	i:12:110
アッティラ	i:12:134	i:13:149
アッバリアート	i:29:132
アッリグッチ家	pa:16:108
アッリーゴ	i:6:80
アッリーゴ・マイナルディ	pu:14:97
アテナイ	i:12:17	pu:6:139	pa:17:46
アディジェ	pu:16:115	pa:9:44
アディジェ川	i:12:5
アトロポス	i:33:126
アドリア海	pa:21:122
アナクサゴラス	i:4:137
アナスタシウス	i:11:8
アナスタージ家	pu:14:107
アナニアス	pa:26:12
アナーニ	pu:20:86	pa:30:148
アニェッロ	i:25:68
アニュス・デイ	pu:16:19
アハシュエロス	pu:17:28
アビュドス	pu:28:74
アフリカヌス	pu:29:116
アブサロム	i:28:137
アブラハム	i:4:58
アベル	i:4:56
アペニン山脈	i:16:96	pu:5:96
アポロ	pa:1:13	pa:2:8
アミクラーテ	pa:11:67
アラクネ	i:17:18	pu:12:43
アラゴン	pu:3:116
アラブ人たち	pa:6:50
アラルド	i:28:18
アラージャ	pu:19:142
アラール川	pa:6:59
アリ	i:28:32
アリウス	pa:13:127
アリキーノ	i:21:118	i:22:112
アリストテレス	pu:3:43
アルキアーノ	pu:5:95
アルキアーノ川	pu:5:125
アルギア	pu:22:110
アルクマイオン	pu:12:50	pa:4:103
アルゴス	i:28:84	pu:29:95
アルゴ船	pa:33:96
アルタフォルテ	i:29:29
アルディンギ家	pa:16:93
アルトゥ	i:32:61
アルノ	i:15:113	pa:11:106
アルノー	pu:26:142
アルノ川	i:13:146	i:23:95	i:30:65	i:33:83	pu:5:126	pu:14:24
アルバ・ロンガ	pa:6:37
アルビア川	i:10:86
アルブレヒト	pu:6:97	pa:19:115
アルプス	i:14:30	i:20:62	pu:17:1	pa:6:50
アルベリーキ家	pa:16:89
アルベリーゴ	i:33:118
アルベルト	i:32:57
アルル	i:9:112
アレクサンドロス	i:14:31
アレクト	i:9:47
アレッサンドリア	pu:7:135
アレッサンドロ	i:12:107	i:30:77
アレッシオ・インテルミネイ	i:18:122
アレッツォ	i:29:109	i:30:31	pu:6:13
アレティーニ	i:22:5
アレトゥーサ	i:25:97
アロンタ	i:20:46
アンキセス	i:1:74	pu:18:137	pa:15:25	pa:19:132
アンジョレッロ	i:28:77
アンセルムス	pa:12:137
アンセルムッチョ	i:33:50
アンタイオス	i:31:100	i:31:113	i:31:139
アンタンドロス	pa:6:67
アンティゴネ	pu:22:110
アンティフォン	pu:22:106
アンテノーラ	i:32:88
アンテーノリ	pu:5:75
アンナ	pa:32:133
アンピアラオス	i:20:34
アンピオン	i:32:11
アンフィシベナ	i:24:87
アヴィケンナ	i:4:143
アヴェ	pa:3:121
アヴェロエス	i:4:144
アヴェンティーノ	i:25:26
イアソン	i:18:86	i:19:85	pa:2:18
イアルバ	pu:31:72
イエス	pa:25:33
イエス・キリスト	pa:31:107
イオレ	pa:9:102
イカロス	i:17:109
イギリス人	pa:19:122
イザヤ	pa:25:91
イシドールス	pa:10:130
イスメネ	pu:22:111
イスメノ	pu:18:91
イスラエル	i:4:59	pu:2:46
イゼール川	pa:6:59
イソップ	i:23:4
イタリア	i:1:106	i:9:114	i:20:61	pu:6:76	pu:6:124	pu:7:95	pu:13:92	pu:13:96	pu:20:67	pu:30:86	pa:9:25	pa:11:105	pa:21:106	pa:30:137
イタリア人	i:22:65	i:29:88	i:29:91
イベロ川	pu:27:3
イリオン	i:1:75	pu:12:62
イルミナート	pa:12:130
イレルダ	pu:18:101
イングランドのヘンリー	pu:7:131
インダス川	pa:19:70
インド	pu:32:41
インド人	pu:26:21	pa:29:101
インノケンティウス	pa:11:92
インファンガート家	pa:16:123
インポルトゥーニ家	pa:16:133
イヴ	pu:1:24
イーデー	i:14:98
ウァロ	pu:22:98
ウェヌス	pu:25:132	pu:28:65
ウェルギリウス	i:1:79	i:19:61	i:23:124	i:29:4	i:31:133	pu:2:61	pu:3:74	pu:6:67	pu:7:7	pu:8:64	pu:10:53	pu:13:79	pu:19:28	pu:21:14	pu:21:101	pu:21:103	pu:21:125	pu:22:10	pu:23:130	pu:24:119	pu:27:20	pu:27:118	pu:27:126	pu:29:56	pu:30:46	pu:30:49	pu:30:50	pu:30:51	pu:30:55	pa:17:19	pa:26:118
ウグッチオーネ	i:33:89
ウゴリン・ダッツォ	pu:14:105
ウゴリン・デ・ファントリン	pu:14:121
ウゴリーノ伯	i:33:13	i:33:85
ウッチェラトーイオ	pa:15:110
ウティカ	pu:1:74
ウバルディン・ダ・ラ・ピーラ	pu:24:29
ウバルド	pa:11:44
ウベルティン・ドナート	pa:16:119
ウラニア	pu:29:41
ウルカヌス	i:14:57
ウルバヌス	pa:27:44
ウルビーノ	i:27:29
ウーギ家	pa:16:88
エウクレイデス	i:4:142
エウノエ	pu:28:131	pu:33:127
エウリピデス	pu:22:106
エウリピュロス	i:20:112
エウリュアロス	i:1:108
エウロス	pa:8:69
エウロパ	pa:27:83
エオロ	pu:28:21
エサウ	pa:8:130
エジディオ	pa:11:83
エジプト	pu:2:46	pa:25:55
エステル	pu:17:29
エステ家	pu:5:77
エゼキエル	pu:29:100	pu:29:105
エチオピア	i:24:89
エチオピア人	pu:26:21	pa:19:109
エテオクレ	i:26:53
エピクロス	i:10:14
エフィジェニア	pa:5:70
エフタ	pa:5:66
エブロ	pa:9:89
エマ川	pa:16:143
エリ	pu:23:74
エリオス	pa:14:96
エリクトー	i:9:23
エリシクトン	pu:23:26
エリゼオ	pa:15:136
エリソ	pa:15:27
エリヤ	i:26:35	pu:32:80
エリーニュス	i:9:45
エルサレム	pu:2:3	pu:23:29	pa:19:127	pa:25:56
エルサ川	pu:33:67
エルベ	pu:7:99
エルモ	pu:5:96
エレクトラ	i:4:121
エンピレオ	i:2:21
エンペドクレス	i:4:138
エヴァ	pu:8:99	pu:12:71	pu:24:116	pu:29:24
オウィディウス	i:4:90	i:25:97
オクタウィアヌス	pu:7:6
オスティエンセ	pa:12:83
オッタケーロ	pu:7:100
オデュッセウス	i:26:56	pu:19:22	pa:27:82
オデリージ	pu:11:79
オピッツォ・ダ・エスティ	i:12:111
オリアーコ	pu:5:80
オリエンテ	pa:11:54
オリュンポス	pu:24:15
オルソ	pu:6:19
オルビザーリア	pa:16:73
オルフェウス	i:4:140
オルマンニ家	pa:16:89
オレステ	pu:13:32
オンベルト	pu:11:67
オーストリア	i:32:25
カイナ	i:5:107	i:32:58
カイン	i:20:126	pa:2:51
カエサル	i:4:123	i:13:64	i:28:97	pu:6:92	pu:6:114	pu:18:101	pu:26:77	pa:6:10	pa:6:57	pa:6:86	pa:16:59
カオール	i:11:50
カオール人	pa:27:58
カクス	i:25:25
カクーメ	pu:4:26
カサロディ家	i:20:95
カザーレ	pa:12:124
カストル	pu:4:61
カストロカーロ	pu:14:116
カセッラ	pu:2:91
カゼンティーノ	i:30:65	pu:5:94
カタラーノ	i:23:104	i:23:114
カタルーニャ	pa:8:77
カッシウス	i:34:67	pa:6:74
カッシーノ	pa:22:37
カッチャ	i:29:131
カッチャグイーダ	pa:15:135
カットーリカ	i:28:80
カッペレッティ家	pu:6:106
カッラーラ人	i:20:48
カテッリーニ家	pa:16:88
カトリア	pa:21:109
カトリック	pa:12:104
カトー	i:14:14
カトーナ	pa:8:62
カドモス	i:25:97
カナヴェーゼ	pu:7:136
カニャッツォ	i:21:119	i:22:106
カニャン	pa:9:49
カパネウス	i:14:63
カプライア	i:33:82
カプリコルノ	pu:2:57
カプローナ	i:21:94
カポッキオ	i:29:136	i:30:28
カポンサッコ家	pa:16:121
カミション・デ・パッツィ	i:32:68
カミッラ	i:1:107	i:4:124
カラブリア	pa:12:140
カラロガ	pa:12:52
カリオペ	pu:1:9
カリストゥス	pa:27:44
カリュディス	i:7:22
カルカブリーナ	i:21:118	i:22:133
カルカンタ	i:20:110
カルナーロ	i:9:113
カルフッチ家	pa:16:106
カルボリ家	pu:14:89
カルリーノ	i:32:69
カルロ	pa:9:1
カレンターナ	i:15:9
カロン	i:3:94	i:3:109	i:3:128
カンパニャーティコ	pu:11:66
カンパルディーノ	pu:5:92
カンピ	pa:16:49
カンポ・ピチェーノ	i:24:148
カンポ広場	pu:11:134
カール大帝	i:31:16	pa:6:96	pa:18:43
ガイア	pu:16:140
ガエータ	i:26:92	pa:8:62
ガスコーニュ	pu:20:66
ガスコーニュ人	pa:27:58
ガッド	i:33:68
ガッリ家	pa:16:105
ガッルッツォ	pa:16:53
ガッルーラ	i:22:82	pu:8:81
ガデス	pa:27:82
ガニュメーデース	pu:9:23
ガヌロン	i:32:122
ガブリエル	pa:4:47	pa:9:138
ガリガイオ家	pa:16:101
ガリシア	pa:25:18
